Band,Song,Player,Technique,Difficulty,Score
The Beatles,Blackbird,Paul McCartney,"['Guitar', 'Acoustic Guitar (nylon)']",Intermediate,3/8
Isaac Albéniz,Asturias,Ýz 1,['Acoustic Guitar (nylon)'],Intermediate,5/8
AC/DC,Back In Black,Angus Young (Lead),['Distortion Guitar'],Intermediate,3/8
Pachelbel,Canon in D Major,nan,['Acoustic Guitar (nylon)'],Intermediate,4/8
Led Zeppelin,"Babe, I'm Gonna Leave You",Jimmy Page,['Acoustic Guitar (steel)'],Beginner,2/8
Jimi Hendrix,Little Wing,Jimi Hendrix,['Electric Guitar (jazz) 1'],Intermediate,5/8
Pink Floyd,Shine On You Crazy Diamond,David Gilmour,['Overdriven Guitar'],Beginner,2/8
Kansas,Dust In The Wind,nan,"['Acoustic Guitar (nylon)', 'Guitar 1']",Intermediate,3/8
Francisco Tarrega,Capricho Arabe,nan,"['Acoustic Guitar (nylon)', 'Serenata para Guitarra']",Intermediate,5/8
Pachelbel,Canon In C,nan,['Acoustic Guitar (nylon)'],Beginner,1/8
Frank Sinatra,Fly Me To The Moon,nan,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Intermediate,3/8
Marilyn Manson,Sweet Dreams,Daisy Berkowitz,"['Lead Guitar', 'Distortion Guitar']",Intermediate,4/8
Van Halen,Panama,Edward Van Halen,['Distortion Guitar'],Intermediate,4/8
Johnny Cash,Hurt,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Metallica,Nothing Else Matters,nan,"['Acoustic Guitar (steel)', 'Guitar 1']",Intermediate,5/8
Kaare Norge,Nocturne Op. 9 No. 2,nan,"['Acoustic Guitar (nylon)', 'Classical Guitar']",Intermediate,5/8
Dire Straits,Sultans Of Swing,Mark Knopfler,"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8
Papa Roach,Last Resort,Jerry Horton,['Distortion Guitar'],Intermediate,4/8
Metallica,Orion,nan,"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8
Slash,Anastasia,Slash,"['Lead Guitar', 'Distortion Guitar']",Intermediate,4/8
Red Hot Chili Peppers,Scar Tissue,John Frusciante (Main),['Electric Guitar (clean)'],Intermediate,3/8
Linkin Park,Numb,nan,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
Lynyrd Skynyrd,Sweet Home Alabama,Ed King ,['Electric Guitar (clean)'],Beginner,2/8
Slash,The Godfather Theme,SLASH,['Distortion Guitar'],Intermediate,4/8
Ozzy Osbourne,Crazy Train,nan,"['Distortion Guitar', 'Randy Rhoads (Lead Guitar)']",Intermediate,5/8
Yiruma-Shunga Jung Fingerstyle,River flows in you-Yiruma,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Megadeth,Hangar 18,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8
Van Halen,Eruption,nan,"['Distortion Guitar', 'Guitar Effects']",Advanced,7/8
Led Zeppelin,Stairway To Heaven,Jimmy Page (Solo),['Overdriven Guitar'],Intermediate,5/8
Theme Songs,Pirates Of The Caribbean,nan,"['Acoustic Guitar (steel)', 'Guitar 1']",Beginner,2/8
Black Sabbath,Iron Man,Tony Iommi,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
Dick Dale,Misirlou,nan,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,4/8
Ed Sheeran,I See Fire,nan,"['Acoustic Guitar (steel)', 'Nylon Guitar']",Intermediate,3/8
Megadeth,Symphony Of Destruction,Marty Friedman,['Distortion Guitar'],Intermediate,3/8
Ludwig Van Beethoven,Moonlight Sonata,nan,['Acoustic Guitar (nylon)'],Intermediate,4/8
Guns N' Roses,Don't Cry,nan,"['Distortion Guitar', 'Guitar 1 (Slash)']",Intermediate,3/8
AC/DC,You Shook Me All Night Long,Angus Young,['Distortion Guitar'],Intermediate,3/8
Mason Williams,Classical Gas,Mason Williams,['Acoustic Guitar (steel)'],Intermediate,3/8
JerryC,Canon Rock,Lead,['Distortion Guitar'],Intermediate,5/8
Muse,Psycho,nan,"['Overdriven Guitar', 'Distortion Guitar']",Intermediate,3/8
Megadeth,Holy Wars... The Punishment Due,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8
Megadeth,Tornado Of Souls,Marty Friedman,['Distortion Guitar'],Intermediate,4/8
Slayer,Raining Blood,Kerry King,['Distortion Guitar'],Intermediate,5/8
Slayer,Angel Of Death,Jeff Hanneman,['Distortion Guitar'],Advanced,6/8
Slipknot,Psychosocial,Mick T.,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
Blind Guardian,The Bards Song,Acoustic 1,['Acoustic Guitar (steel)'],Beginner,2/8
Red Hot Chili Peppers,Can't Stop,John Frusciante,['Overdriven Guitar'],Intermediate,3/8
Gary Moore,The Loner,Lead,['Distortion Guitar'],Intermediate,3/8
Sungha Jung,Howls Moving Castle,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Children Of Bodom,Are You Dead Yet?,Alexi Laiho,['Distortion Guitar'],Intermediate,3/8
Estas Tonne,The Song Of The Golden Dragon,Estas Tonné,['Acoustic Guitar (nylon)'],Intermediate,5/8
AC/DC,Hells Bells,Angus Young,['Distortion Guitar'],Intermediate,4/8
Mayhem,Freezing Moon,Euronymous,['Distortion Guitar'],Intermediate,3/8
Foo Fighters,Everlong,nan,"['Distortion Guitar', 'Dave Grohl (Rhythm Guitar)']",Intermediate,3/8
Guns N' Roses,November Rain,Slash (Lead),['Distortion Guitar'],Intermediate,3/8
Guns N' Roses,Paradise City,Slash,['Distortion Guitar'],Intermediate,5/8
Avenged Sevenfold,Buried Alive,nan,"['Electric Guitar (clean)', 'Clean Guitar (Synyster Gates)']",Intermediate,4/8
Metallica,Ride The Lightning,Kirk Hammett,['Distortion Guitar'],Intermediate,3/8
Alan Walker,Faded Fingerstyle,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
Johann Sebastian Bach,Bouree,nan,['Acoustic Guitar (steel)'],Intermediate,4/8
As I Lay Dying,Through Struggle,Samuel Nicholas Keali'iokalani Hipa,['Distortion Guitar'],Intermediate,3/8
Lynyrd Skynyrd,Free Bird,nan,"['Distortion Guitar', 'Allen Collins (Lead Guitar-Right Stereo)']",Advanced,6/8
Judas Priest,Breaking The Law,Glenn Tipton,['Distortion Guitar'],Intermediate,3/8
Gojira,Silvera,nan,"['Distortion Guitar', 'Joe Duplantier (Guitar)']",Intermediate,4/8
Bullet For My Valentine,Waking The Demon,Matt Tuck,['Distortion Guitar'],Intermediate,4/8
Joe Hisaishi,Spirited Away Ost - One Summer's Day,nan,['Acoustic Guitar (nylon)'],Beginner,2/8
Blue Oyster Cult,Don't Fear The Reaper,nan,"['Electric Guitar (clean)', 'Guitar 1']",Beginner,2/8
Plain White T's,Hey There Delilah,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Led Zeppelin,Whole Lotta Love,nan,"['Distortion Guitar', 'Jimmy Page Guitar 1 (w/dist) ']",Intermediate,3/8
Eddie Van Der Meer,Naruto Ost - Sadness & Sorrow,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
Jimi Hendrix,Purple Haze,Jimi Hendrix,['Distortion Guitar'],Intermediate,3/8
Joe Satriani,"Always With Me, Always With You",Melody,['Distortion Guitar'],Intermediate,5/8
Lemon,Kenshi Yonezu 米津玄師,트랙 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
Yann Tiersen,La Valse D'amélie,Solo,['Acoustic Guitar (nylon)'],Intermediate,4/8
Pantera,I'm Broken,Dimebag Darrell,['Distortion Guitar'],Intermediate,4/8
Eddie Van Der Meer,Unravel - Tokyo Ghoul OP 1,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,4/8
Killswitch Engage,My Curse,Adam D.,['Distortion Guitar'],Intermediate,4/8
The Police,Every Breath You Take,Andy Summers,['Electric Guitar (clean)'],Beginner,2/8
Gary Moore,Parisienne Walkways,Solo,['Distortion Guitar'],Intermediate,3/8
Disturbed,Down With The Sickness,Dan Donegan,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
Firelake,Dirge For The Planet,Lead,['Acoustic Guitar (steel)'],Beginner,2/8
Alice in Chains,Man In The Box,Jerry Cantrell,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
Jaskier,Toss A Coin To Your Witcher,nan,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
Carlos Santana,Smooth,C. Santana,['Distortion Guitar'],Intermediate,3/8
The White Stripes,Seven Nation Army Edit,nan,"['Distortion Guitar', 'Guitar 1']",Beginner,1/8
Avenged Sevenfold,Nightmare,Lead,['Distortion Guitar'],Intermediate,3/8
Bon Jovi,You Give Love A Bad Name,nan,['Distortion Guitar'],Beginner,2/8
The Rolling Stones,Angie,nan,['Acoustic Guitar (steel)'],Beginner,2/8
John Petrucci,Glasgow Kiss,nan,"['Distortion Guitar', 'Lead Guitar']",Advanced,6/8
The Rolling Stones,Paint It Black,Keith Richards,"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8
Sting,Shape Of My Heart,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Megadeth,In My Darkest Hour,Dave Mustaine,"['Distorted Guitar', 'Distortion Guitar']",Intermediate,4/8
Johann Sebastian Bach,Toccata And Fugue,nan,"['Acoustic Guitar (nylon)', 'Guitare classique']",Intermediate,5/8
Kotaro Oshio,Twilight,트랙 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
Neil Wicker,Shallow,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Francisco Tarrega,Gran Vals,nan,"['Acoustic Guitar (nylon)', 'N.Guitar']",Intermediate,3/8
Lamb Of God,Walk With Me In Hell,nan,"['Distortion Guitar', 'Mark Morton (Lead Guitar)']",Intermediate,4/8
Stevie Ray Vaughan,Pride And Joy,Stevie Ray Vaughan,['Overdriven Guitar'],Intermediate,4/8
Megadeth,Peace Sells,Dave Mustaine,['Distortion Guitar'],Intermediate,3/8
Death,Voice Of The Soul,Lead 1  Chuck Schuldiner,['Distortion Guitar'],Intermediate,4/8
Kana-Boon,Silhouette,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Jeff Buckley,Hallelujah,nan,['Acoustic Guitar (nylon)'],Beginner,2/8
Skillet,Monster,Ben Kasica,['Distortion Guitar'],Beginner,1/8
Extreme,More Than Words,Trilha 1,['Acoustic Guitar (steel)'],Beginner,2/8
Lil Peep,Star Shopping,nan,['Acoustic Guitar (steel)'],Intermediate,3/8
Seether,Careless Whisper,nan,['Distortion Guitar'],Beginner,2/8
Van Halen,Hot For Teacher,Eddie Van Halen (Disortion),['Distortion Guitar'],Intermediate,5/8
Aerosmith,Walk This Way,nan,"['Overdriven Guitar', 'Rhythm Guitar 1']",Intermediate,3/8
Megadeth,Sweating Bullets,nan,"['Distortion Guitar', 'Distortion Guitar-Dave Mustaine']",Intermediate,4/8
Steve Vai,Eugene's Trick Bag,nan,['Distortion Guitar'],Advanced,8/8
Tool,The Pot,nan,"['Distortion Guitar', 'Guitar 1 w/ delay']",Intermediate,3/8
Eric Clapton,Layla,Eric Clapton,['Acoustic Guitar (steel)'],Beginner,2/8
Jason Becker,Altitudes,Jason Becker,['Distortion Guitar'],Advanced,8/8
Lamb Of God,Laid To Rest,Willie Adler,['Distortion Guitar'],Intermediate,5/8
Duman,Bu Akşam,Kaan Tangöze,['Distortion Guitar'],Beginner,2/8
Iron Maiden,The Trooper,Dave Murray,['Distortion Guitar'],Intermediate,4/8
Death,Symbolic,Chuck Schuldiner,['Distortion Guitar'],Intermediate,3/8
Cream,Crossroads,Clapton,['Overdriven Guitar'],Intermediate,4/8
Lamb Of God,Redneck,Mark Morton,['Distortion Guitar'],Intermediate,4/8
Mountain,Mississippi Queen,Gtr 2,['Distortion Guitar'],Intermediate,3/8
Simon And Garfunkel,Sound Of Silence,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Ozzy Osbourne,Mr. Crowley,Randy Rhoads,['Distortion Guitar'],Intermediate,5/8
Metallica,All Nightmare Long,James Hetfield,['Distortion Guitar'],Intermediate,4/8
Iron Maiden,Hallowed Be Thy Name,Dave Murray,['Distortion Guitar'],Intermediate,3/8
Metallica,Blackened,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8
Limp Bizkit,Behind Blue Eyes,Wes Borland,"['Guitar', 'Acoustic Guitar (steel)']",Beginner,2/8
Paul Gilbert,Technical Difficulties,Paul Gilbert,['Distortion Guitar'],Advanced,7/8
Gary Moore,Still Got The Blues,nan,"['Distortion Guitar', 'Dist. Guitar Solo']",Intermediate,5/8
Francisco Tarrega,Lágrima,nan,"['Acoustic Guitar (nylon)', 'Guitare']",Beginner,2/8
Spanish Song,Spanish Romance,nan,['Acoustic Guitar (nylon)'],Beginner,2/8
Metallica,Fade To Black,James Hetfield,"['Acoustic Guitar', 'Acoustic Guitar (steel)']",Intermediate,3/8
Sublime,Santeria,nan,"['Electric Guitar (clean)', 'Bradley Nowell (Guitar)']",Intermediate,3/8
Opeth,Ghost Of Perdition,M. Akerfeldt,['Distortion Guitar'],Intermediate,4/8
Led Zeppelin,Rock And Roll,Jimmy Page,"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8
Jimi Hendrix,All Along The Watchtower,nan,"['Overdriven Guitar', 'Guitar I']",Intermediate,5/8
Pearl Jam,Yellow Ledbetter,Mike McCREADY (Clean),['Electric Guitar (clean)'],Intermediate,4/8
Dream Theater,Another Day,John Petrucci (Solos),['Distortion Guitar'],Intermediate,5/8
Radiohead,Paranoid Android,nan,"['Acoustic Guitar (steel)', 'Guitar 1']",Beginner,2/8
Tenacious D,The Metal,Guitar (John Konesky) [Distorted,['Distortion Guitar'],Intermediate,3/8
System of a Down,Aerials,Daron Malakian,['Electric Guitar (clean)'],Intermediate,3/8
Stevie Ray Vaughan,Little Wing,Overdub,['Electric Guitar (jazz)'],Intermediate,5/8
Judas Priest,Painkiller,Glenn Tipton,['Distortion Guitar'],Intermediate,5/8
Metallica,The Day That Never Comes,James Hetfield (Clean Rhythm),['Electric Guitar (clean)'],Beginner,2/8
Metallica,Fuel,nan,"['Distortion Guitar', 'James Hetfield (Guitar)']",Intermediate,3/8
Yngwie Malmsteen,Arpeggios From Hell,nan,['Distortion Guitar'],Advanced,6/8
Alice Cooper,Poison,nan,"['Distortion Guitar', 'Lead guitar']",Beginner,2/8
Dream Theater,Metropolis Part 1 The Miracle And The Sleeper,John Petrucci,"['Guitar 1', 'Distortion Guitar']",Intermediate,4/8
Metallica,The Shortest Straw,James Hetfield (Distortion),['Distortion Guitar'],Intermediate,3/8
Slayer,Seasons In The Abyss,nan,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Journey,Don't Stop Believin',nan,"['Distortion Guitar 1', 'Guitar (Neal Schon)']",Intermediate,4/8
Slipknot,Duality,Mick Thomson,['Distortion Guitar'],Intermediate,3/8
Muse,Plug In Baby,nan,"['Distortion Guitar', 'Chris Wolstenholme (Guitar)']",Intermediate,3/8
Scorpions,Still Loving You,Rhythm,['Distortion Guitar'],Intermediate,3/8
Guns N' Roses,Knockin' On Heaven's Door,Slash Leads,['Distortion Guitar'],Intermediate,3/8
Soundgarden,Black Hole Sun,Kim Thayil,"['Guitar 1', 'Electric Guitar (clean)']",Beginner,2/8
Buckethead,Soothsayer,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,5/8
Steve Vai,For The Love of God,Steve Vai,"['Lead Guitar', 'Distortion Guitar']",Intermediate,5/8
Cannibal Corpse,Hammer Smashed Face,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,4/8
Joan Jett,I Love Rock N' Roll,nan,"['Overdriven Guitar', 'Guitar 2']",Intermediate,3/8
Sungha Jung, Sparkle,к«иб 1,['Acoustic Guitar (steel)'],Intermediate,5/8
Pixies,Where Is My Mind,nan,"['Distortion Guitar', 'Joey Santiago (Right Guitar)']",Beginner,2/8
Dream Theater,Pull Me Under,John Petrucci,"['Guitar 1', 'Distortion Guitar']",Intermediate,4/8
KISS,I Was Made For Loving You,Paul Stanley,['Distortion Guitar'],Intermediate,3/8
Metallica,Jump In The Fire,Kirk Hammett,['Distortion Guitar'],Intermediate,4/8
Death,Spirit Crusher,Chuck Schuldiner ,['Distortion Guitar'],Intermediate,3/8
Mac Demarco,Freaking Out The Neighbourhood,nan,"['Electric Guitar (clean)', 'Lead Guitar']",Beginner,2/8
Cream,Sunshine Of Your Love,Eric Clapton,['Overdriven Guitar'],Intermediate,3/8
Van Halen,Unchained,Eddie Van Halen,['Distortion Guitar'],Beginner,2/8
Fairy Tail,Main Theme,nan,['Acoustic Guitar (nylon)'],Beginner,2/8
Rage Against The Machine,Bombtrack,Tom Morello,['Distortion Guitar'],Intermediate,3/8
Jojo's Bizarre Adventure Golden Wind,Giorno's Theme,nan,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
Yngwie Malmsteen,Far Beyond The Sun,Yngwie J. Malmsteen,"['Lead Guitar', 'Distortion Guitar']",Advanced,7/8
B.B. King,The Thrill Is Gone,B.B. Lead,['Overdriven Guitar'],Intermediate,3/8
3 Doors Down,Kryptonite,nan,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,3/8
Rammstein,Du Hast,Paul Landers,['Distortion Guitar'],Intermediate,3/8
Jim Croce,Time In A Bottle,Track 2,['Acoustic Guitar (steel)'],Beginner,1/8
Pearl Jam,Even Flow,Mike McCready,"['Lead Guitar 1', 'Distortion Guitar']",Intermediate,3/8
Pantera,Domination,nan,"['Distortion Guitar', 'Dime Lead Guitar']",Intermediate,5/8
Sungha Jung, Sen To Chihiro Spirited Away : Inochi No Namae,­µ­y 1,['Acoustic Guitar (steel)'],Intermediate,4/8
Green Day,When I Come Around,Billie Joe Armstrong,['Distortion Guitar'],Intermediate,3/8
Slipknot,Snuff,Mick Thomson (Acoustic),['Acoustic Guitar (steel)'],Beginner,2/8
Amon Amarth,The Pursuit Of Vikings,Olavi Mikkonen,['Distortion Guitar'],Intermediate,3/8
Nirvana,About A Girl,Kurt Cobain,['Electric Guitar (clean)'],Beginner,2/8
Alice in Chains,Nutshell,Jerry Cantrell,"['Guitar 1', 'Acoustic Guitar (nylon)']",Beginner,2/8
The Rolling Stones, Satisfaction,Keith Richards,['Distortion Guitar'],Beginner,2/8
Kansas,Carry On Wayward Son,Rich Williams,"['Rhythm Guitar (Right Spe', 'Distortion Guitar']",Intermediate,3/8
Megadeth,Lucretia,Dave Mustaine,['Distortion Guitar'],Intermediate,4/8
Alice in Chains,Them Bones,Jerry Cantrell (Lead),['Distortion Guitar'],Intermediate,3/8
Stone Temple Pilots,Plush,nan,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
Toto,Hold The Line,Steve Lukather,"['Rythm Guitar', 'Distortion Guitar']",Intermediate,3/8
Led Zeppelin,Good Times Bad Times,Jimmy Page,['Distortion Guitar 2'],Intermediate,4/8
Jimi Hendrix,Voodoo Child,Jimi Hendrix,['Distortion Guitar'],Intermediate,5/8
Dire Straits,Brothers In Arms,nan,['Overdriven Guitar'],Intermediate,3/8
C418,Sweden,nan,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Intermediate,3/8
Ghost B.C.,Square Hammer,Fire,['Distortion Guitar'],Intermediate,3/8
Red Hot Chili Peppers,Soul To Squeeze,John,['Electric Guitar (clean)'],Beginner,2/8
Avenged Sevenfold,Bat Country,Synyster Gates (Lead),['Distortion Guitar'],Intermediate,4/8
Metallica,For Whom The Bell Tolls,James Hetfield (Rhythm),['Distortion Guitar'],Beginner,2/8
Led Zeppelin,Immigrant Song,Jimmy Page,"['Rhythm Guitar', 'Overdriven Guitar']",Intermediate,3/8
KISS,Detroit Rock City,nan,"['Distortion Guitar', 'Guitar Right']",Intermediate,3/8
Jimi Hendrix,Hey Joe,nan,"['Electric Guitar (jazz)', 'Guitar 1']",Intermediate,5/8
Motley Crue,Kickstart My Heart,Mick Mars,['Distortion Guitar'],Intermediate,3/8
Queen,Another One Bites the Dust,nan,"['Electric Guitar (muted)', 'Guitar 2']",Beginner,2/8
Pantera,Walk,Dimebag  Darrell,['Distortion Guitar'],Intermediate,3/8
Muse,Supermassive Black Hole,nan,"['Distortion Guitar', 'Matt Guitare']",Intermediate,3/8
Metallica,The Unforgiven,Kirk Hammett (Lead),['Distortion Guitar'],Beginner,2/8
Death,Crystal Mountain,Chuck Schuldiner ,['Distortion Guitar'],Intermediate,4/8
Red Hot Chili Peppers,Otherside,John Frusciante (Main),['Electric Guitar (clean)'],Intermediate,3/8
Baby Bash,Suga Suga,nan,['Electric Guitar (jazz)'],Intermediate,4/8
Slipknot,Sulfur,nan,"['Distortion Guitar', 'Mick Thomson (Guitar Lead)']",Intermediate,4/8
Childish Gambino,Redbone,nan,['Electric Guitar (clean)'],Beginner,2/8
Yann Tiersen,Comptine d'un autre éte,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Metallica,Creeping Death,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8
The Beatles,Yesterday,Paul McCartney,['Acoustic Guitar (steel)'],Beginner,2/8
Bon Jovi,Wanted Dead Or Alive,Richie Sambora- Acoustic Lead,['Acoustic Guitar (steel)'],Intermediate,3/8
The Oral Cigarettes,Kyouran Hey Kids!!,nan,['Distortion Guitar'],Intermediate,5/8
Sabaton,Bismarck,Tommy Johannson,['Distortion Guitar 1'],Intermediate,4/8
Red Hot Chili Peppers,Dark Necessities,Josh,['Distortion Guitar'],Beginner,2/8
Europe,The Final Countdown,nan,"['Distortion Guitar', 'John Norum (Guitar)']",Beginner,2/8
Three Days Grace,I Hate Everything About You,Adam Gontier,['Acoustic Guitar (steel)'],Beginner,2/8
Avenged Sevenfold,The Stage,Synyster Gates,['Distortion Guitar'],Advanced,6/8
ZZ Top,Sharp Dressed Man,Billy F. Gibbons,['Distortion Guitar'],Intermediate,3/8
Led Zeppelin,Ramble On,nan,"['Acoustic Guitar (steel)', 'Guitar 1 (acous.) Jimmy Page']",Beginner,2/8
Gustavo Santaolalla,The Last Of Us - Theme,nan,['Acoustic Guitar (nylon)'],Intermediate,4/8
The Beatles,I Want You,Rhythm (Lennon)-Epiphone Casino,['Electric Guitar (clean)'],Intermediate,3/8
Metallica,The Four Horsemen,K. Hammett (Lead),['Distortion Guitar'],Intermediate,4/8
Green Day,Basket Case,Billie Joe Armstrong,['Distortion Guitar'],Intermediate,3/8
The Beatles,Don't Let Me Down,George Harrison,['Electric Guitar (clean)'],Intermediate,3/8
Judas Priest,Electric Eye,Glenn Tipton,['Distortion Guitar'],Intermediate,3/8
Children Of Bodom,Downfall,Gtr III,['Distortion Guitar'],Intermediate,5/8
Iron Maiden,Phantom Of The Opera,Dave Murray,['Distortion Guitar'],Intermediate,3/8
Slipknot,Before I Forget,Mick Thomson,['Distortion Guitar'],Intermediate,3/8
Three Days Grace,Animal I Have Become,Barry Stock,['Distortion Guitar'],Beginner,1/8
Green Day,Holiday,Billie Joe Armstrong,['Distortion Guitar'],Beginner,2/8
Francisco Tarrega,Recuerdos De La Alhambra,Pista 1,['Acoustic Guitar (nylon)'],Intermediate,5/8
Led Zeppelin,Kashmir,Jimmy Page,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8
The Police,Message In A Bottle,nan,"['Electric Guitar (jazz)', '1st Guitar']",Intermediate,3/8
Daria Semikina,Eric Clapton - Wonderful Tonight,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Avenged Sevenfold,Save Me,READ THIS ONE! (All in one but muted),['Distortion Guitar'],Intermediate,5/8
Francisco Tarrega,Adelita,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Creedence Clearwater Revival,Fortunate Son,nan,"['Overdriven Guitar', 'John Guitar']",Beginner,2/8
Thedooo,Ascend,nan,['Distortion Guitar 1'],Advanced,6/8
Smashing Pumpkins,1979,Billy Corgan,"['Rhythm Guitar', 'Electric Guitar (jazz)']",Beginner,2/8
Hozier,Cherry Wine,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Pantera,Floods,Dimebag (Lead),['Distortion Guitar'],Intermediate,4/8
Dream Theater,The Best Of Times,John Petrucci,['Distortion Guitar'],Intermediate,5/8
Metallica,Disposable Heroes,nan,"['Distortion Guitar', 'James Hetfield (Rhythm Guitar)']",Intermediate,4/8
System of a Down,Protect the Land,nan,"['Distortion Guitar', 'Distortion Guitar (L)']",Intermediate,3/8
Arctic Monkeys,Do I Wanna Know,Jamie Cook,"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8
Children Of Bodom,Kissing The Shadows,Alexi Laiho-lead,['Overdriven Guitar'],Advanced,8/8
Ozzy Osbourne,Bark At The Moon,Jake Lee Rhythm,['Distortion Guitar'],Intermediate,4/8
Red Hot Chili Peppers,I Could Have Lied,Acoustic Rhythm (John),['Acoustic Guitar (steel)'],Beginner,2/8
Queen,Bohemian Rhapsody,Brian May I,['Distortion Guitar'],Intermediate,4/8
Eric Clapton,Wonderful Tonight,ercci,['Electric Guitar (jazz)'],Intermediate,3/8
Metallica,Am I Evil,James Hetfield,['Distortion Guitar'],Intermediate,3/8
Black Sabbath,Into The Void,Tony Iommi Right,['Distortion Guitar'],Intermediate,3/8
Avenged Sevenfold,So Far Away,Zacky Vengeance,['Acoustic Guitar (steel)'],Beginner,2/8
Led Zeppelin,Heartbreaker,nan,"['Overdriven Guitar', 'Guitar I']",Intermediate,3/8
Gojira,Stranded,Joe Duplantier,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
Black Sabbath,War Pigs,Tony Iommi,"['Guitar (Right)', 'Distortion Guitar']",Intermediate,3/8
Weezer,Say It Ain't So,nan,"['Electric Guitar (clean)', 'Lead Guitar 1 (Rivers Cuomo)']",Intermediate,3/8
Oasis,Live Forever,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Children Of Bodom,In Your Face,nan,"['Distortion Guitar', 'Alexi (Rythm Guitar)']",Intermediate,3/8
Iron Maiden,Wasted Years,Adrian Smith,['Distortion Guitar'],Intermediate,3/8
Red Hot Chili Peppers,Dani California,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Black Sabbath,Heaven And Hell,Tony Iommi I,['Distortion Guitar'],Intermediate,4/8
Jeff Buckley,Hallelujah,nan,['Electric Guitar (clean)'],Intermediate,4/8
Scorpions,Rock You Like A Hurricane,Lead,['Distortion Guitar'],Intermediate,5/8
Avenged Sevenfold,Beast And The Harlot,Synyster Gates,['Distortion Guitar'],Intermediate,4/8
Lynyrd Skynyrd,Simple Man,Gary Rossington,"['Clean Guitar 1', 'Electric Guitar (clean)']",Beginner,2/8
Slipknot,Unsainted,nan,"['Distortion Guitar', 'Guitar 1 (Mick Thomson)']",Beginner,2/8
Ozzy Osbourne,No More Tears,Zakk Wylde,['Distortion Guitar'],Intermediate,3/8
The Eagles,Hotel California,nan,"['Acoustic Guitar (nylon)', 'Guitar 1']",Intermediate,4/8
Guns N' Roses,Welcome To The Jungle,nan,"['Distortion Guitar', 'Guitar 1 (Slash)']",Intermediate,4/8
Sungha Jung, Isn't She Lovely,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,4/8
Muse,Hysteria,Matt Bellamy,"['Main Guitar', 'Distortion Guitar']",Intermediate,3/8
The Animals,The House Of The Rising Sun,Hilton Valentine,['Electric Guitar (clean)'],Intermediate,3/8
My Chemical Romance,Welcome To The Black Parade,nan,"['Distortion Guitar', 'Ray Toro (Lead Guitar)']",Intermediate,3/8
AC/DC,T.N.T.,Malcolm Young,['Distortion Guitar'],Intermediate,3/8
Metallica,Battery,James Hetfield,"['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
